offspring / columns as printed,AA/DD,AA/Dd,AA/dd,AO/DD,AO/Dd,AO/dd,BB/DD,BB/Dd,BB/dd,BO/DD,BO/Dd,BO/dd,AB/DD,AB/Dd,AB/dd,OO/DD,OO/Dd,OO/dd
AA/DD,1.0,0.25,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0
AA/Dd,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
AA/dd,0.0,0.25,1.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0
AO/DD,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO/Dd,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO/dd,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB/DD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0625,0.0,0.25,0.0625,0.0,0.0,0.0,0.0
BB/Dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0
BB/dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0625,0.25,0.0,0.0625,0.25,0.0,0.0,0.0
BO/DD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BO/Dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BO/dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
AB/DD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0
AB/Dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
AB/dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0
OO/DD,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,1.0,0.25,0.0
OO/Dd,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.0
OO/dd,0.0,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.25,1.0
