example,generation,genotype,probability,exact_fraction
abo_p35,1,AA,0.0,0
abo_p35,1,AO,1.0,1
abo_p35,1,BB,0.0,0
abo_p35,1,BO,0.0,0
abo_p35,1,AB,0.0,0
abo_p35,1,OO,0.0,0
abo_p35,2,AA,0.25,1/4
abo_p35,2,AO,0.5,1/2
abo_p35,2,BB,0.0,0
abo_p35,2,BO,0.0,0
abo_p35,2,AB,0.0,0
abo_p35,2,OO,0.25,1/4
abo_p35,3,AA,0.25,1/4
abo_p35,3,AO,0.5,1/2
abo_p35,3,BB,0.0,0
abo_p35,3,BO,0.0,0
abo_p35,3,AB,0.0,0
abo_p35,3,OO,0.25,1/4
abo_p36,1,AA,0.0,0
abo_p36,1,AO,0.25,1/4
abo_p36,1,BB,0.0,0
abo_p36,1,BO,0.25,1/4
abo_p36,1,AB,0.25,1/4
abo_p36,1,OO,0.25,1/4
abo_p36,2,AA,0.0625,1/16
abo_p36,2,AO,0.25,1/4
abo_p36,2,BB,0.0625,1/16
abo_p36,2,BO,0.25,1/4
abo_p36,2,AB,0.125,1/8
abo_p36,2,OO,0.25,1/4
abo_p36,3,AA,0.0625,1/16
abo_p36,3,AO,0.25,1/4
abo_p36,3,BB,0.0625,1/16
abo_p36,3,BO,0.25,1/4
abo_p36,3,AB,0.125,1/8
abo_p36,3,OO,0.25,1/4
abo_p36,4,AA,0.0625,1/16
abo_p36,4,AO,0.25,1/4
abo_p36,4,BB,0.0625,1/16
abo_p36,4,BO,0.25,1/4
abo_p36,4,AB,0.125,1/8
abo_p36,4,OO,0.25,1/4
aborh_p49,1,AA/DD,0.0625,1/16
aborh_p49,1,AA/Dd,0.125,1/8
aborh_p49,1,AA/dd,0.0625,1/16
aborh_p49,1,AO/DD,0.125,1/8
aborh_p49,1,AO/Dd,0.25,1/4
aborh_p49,1,AO/dd,0.125,1/8
aborh_p49,1,BB/DD,0.0,0
aborh_p49,1,BB/Dd,0.0,0
aborh_p49,1,BB/dd,0.0,0
aborh_p49,1,BO/DD,0.0,0
aborh_p49,1,BO/Dd,0.0,0
aborh_p49,1,BO/dd,0.0,0
aborh_p49,1,AB/DD,0.0,0
aborh_p49,1,AB/Dd,0.0,0
aborh_p49,1,AB/dd,0.0,0
aborh_p49,1,OO/DD,0.0625,1/16
aborh_p49,1,OO/Dd,0.125,1/8
